Room,Value,Time,Type
Ruum 1,978.0,01:47 2023-05-25,CO2 ppm
Ruum 1,975.0,01:50 2023-05-25,CO2 ppm
Ruum 1,977.0,01:53 2023-05-25,CO2 ppm
Ruum 1,976.0,01:56 2023-05-25,CO2 ppm
Ruum 1,22.6,01:58 2023-05-25,t° C
Ruum 1,42.2,01:58 2023-05-25,RH %
Ruum 1,974.0,01:59 2023-05-25,CO2 ppm
Ruum 1,975.0,02:02 2023-05-25,CO2 ppm
Ruum 1,974.0,02:05 2023-05-25,CO2 ppm
Ruum 1,971.0,02:08 2023-05-25,CO2 ppm
Ruum 1,979.0,02:11 2023-05-25,CO2 ppm
Ruum 1,22.6,02:13 2023-05-25,t° C
Ruum 1,42.3,02:13 2023-05-25,RH %
Ruum 1,973.0,02:14 2023-05-25,CO2 ppm
Ruum 1,974.0,02:17 2023-05-25,CO2 ppm
Ruum 1,972.0,02:20 2023-05-25,CO2 ppm
Ruum 1,967.0,02:23 2023-05-25,CO2 ppm
Ruum 1,966.0,02:26 2023-05-25,CO2 ppm
Ruum 1,22.5,02:28 2023-05-25,t° C
Ruum 1,42.4,02:28 2023-05-25,RH %
Ruum 1,968.0,02:29 2023-05-25,CO2 ppm
Ruum 1,974.0,02:32 2023-05-25,CO2 ppm
Ruum 1,977.0,02:35 2023-05-25,CO2 ppm
Ruum 1,976.0,02:38 2023-05-25,CO2 ppm
Ruum 1,974.0,02:41 2023-05-25,CO2 ppm
Ruum 1,22.5,02:43 2023-05-25,t° C
Ruum 1,42.4,02:43 2023-05-25,RH %
Ruum 1,973.0,02:44 2023-05-25,CO2 ppm
Ruum 1,973.0,02:47 2023-05-25,CO2 ppm
Ruum 1,971.0,02:50 2023-05-25,CO2 ppm
Ruum 1,968.0,02:53 2023-05-25,CO2 ppm
Ruum 1,962.0,02:56 2023-05-25,CO2 ppm
Ruum 1,22.5,02:58 2023-05-25,t° C
Ruum 1,42.5,02:58 2023-05-25,RH %
Ruum 1,963.0,02:59 2023-05-25,CO2 ppm
Ruum 1,967.0,03:02 2023-05-25,CO2 ppm
Ruum 1,972.0,03:05 2023-05-25,CO2 ppm
Ruum 1,971.0,03:08 2023-05-25,CO2 ppm
Ruum 1,969.0,03:11 2023-05-25,CO2 ppm
Ruum 1,22.4,03:13 2023-05-25,t° C
Ruum 1,42.6,03:13 2023-05-25,RH %
Ruum 1,963.0,03:14 2023-05-25,CO2 ppm
Ruum 1,964.0,03:17 2023-05-25,CO2 ppm
Ruum 1,962.0,03:20 2023-05-25,CO2 ppm
Ruum 1,966.0,03:23 2023-05-25,CO2 ppm
Ruum 1,969.0,03:26 2023-05-25,CO2 ppm
Ruum 1,22.4,03:28 2023-05-25,t° C
Ruum 1,42.6,03:28 2023-05-25,RH %
Ruum 1,968.0,03:29 2023-05-25,CO2 ppm
Ruum 1,959.0,03:32 2023-05-25,CO2 ppm
Ruum 1,964.0,03:35 2023-05-25,CO2 ppm
Ruum 1,964.0,03:38 2023-05-25,CO2 ppm
Ruum 1,963.0,03:41 2023-05-25,CO2 ppm
Ruum 1,22.4,03:43 2023-05-25,t° C
Ruum 1,42.7,03:43 2023-05-25,RH %
Ruum 1,962.0,03:44 2023-05-25,CO2 ppm
Ruum 1,959.0,03:47 2023-05-25,CO2 ppm
Ruum 1,955.0,03:50 2023-05-25,CO2 ppm
Ruum 1,951.0,03:53 2023-05-25,CO2 ppm
Ruum 1,956.0,03:56 2023-05-25,CO2 ppm
Ruum 1,22.3,03:58 2023-05-25,t° C
Ruum 1,42.7,03:58 2023-05-25,RH %
Ruum 1,959.0,03:59 2023-05-25,CO2 ppm
Ruum 1,958.0,04:02 2023-05-25,CO2 ppm
Ruum 1,957.0,04:05 2023-05-25,CO2 ppm
Ruum 1,957.0,04:08 2023-05-25,CO2 ppm
Ruum 1,955.0,04:11 2023-05-25,CO2 ppm
Ruum 1,22.3,04:13 2023-05-25,t° C
Ruum 1,42.8,04:13 2023-05-25,RH %
Ruum 1,955.0,04:14 2023-05-25,CO2 ppm
Ruum 1,953.0,04:17 2023-05-25,CO2 ppm
Ruum 1,953.0,04:20 2023-05-25,CO2 ppm
Ruum 1,954.0,04:23 2023-05-25,CO2 ppm
Ruum 1,955.0,04:26 2023-05-25,CO2 ppm
Ruum 1,22.3,04:28 2023-05-25,t° C
Ruum 1,42.9,04:28 2023-05-25,RH %
Ruum 1,955.0,04:29 2023-05-25,CO2 ppm
Ruum 1,955.0,04:32 2023-05-25,CO2 ppm
Ruum 1,954.0,04:35 2023-05-25,CO2 ppm
Ruum 1,953.0,04:38 2023-05-25,CO2 ppm
Ruum 1,950.0,04:41 2023-05-25,CO2 ppm
Ruum 1,22.2,04:43 2023-05-25,t° C
Ruum 1,42.9,04:43 2023-05-25,RH %
Ruum 1,951.0,04:44 2023-05-25,CO2 ppm
Ruum 1,951.0,04:47 2023-05-25,CO2 ppm
Ruum 1,955.0,04:50 2023-05-25,CO2 ppm
Ruum 1,955.0,04:53 2023-05-25,CO2 ppm
Ruum 1,953.0,04:56 2023-05-25,CO2 ppm
Ruum 1,22.2,04:58 2023-05-25,t° C
Ruum 1,43.0,04:58 2023-05-25,RH %
Ruum 1,946.0,04:59 2023-05-25,CO2 ppm
Ruum 1,946.0,05:02 2023-05-25,CO2 ppm
Ruum 1,950.0,05:05 2023-05-25,CO2 ppm
Ruum 1,949.0,05:08 2023-05-25,CO2 ppm
Ruum 1,958.0,05:11 2023-05-25,CO2 ppm
Ruum 1,22.2,05:13 2023-05-25,t° C
Ruum 1,43.0,05:13 2023-05-25,RH %
Ruum 1,955.0,05:14 2023-05-25,CO2 ppm
Ruum 1,947.0,05:17 2023-05-25,CO2 ppm
Ruum 1,948.0,05:20 2023-05-25,CO2 ppm
Ruum 1,946.0,05:23 2023-05-25,CO2 ppm
Ruum 1,945.0,05:26 2023-05-25,CO2 ppm
Ruum 1,22.2,05:28 2023-05-25,t° C
Ruum 1,43.0,05:28 2023-05-25,RH %
Ruum 1,946.0,05:29 2023-05-25,CO2 ppm
Ruum 1,947.0,05:32 2023-05-25,CO2 ppm
Ruum 1,947.0,05:35 2023-05-25,CO2 ppm
Ruum 1,944.0,05:38 2023-05-25,CO2 ppm
Ruum 1,945.0,05:41 2023-05-25,CO2 ppm
