Room,Value,Time,Type
3FAD,21.4,20:23 2023-12-01,t° C
3FAD,43.1,20:23 2023-12-01,RH %
3FAD,1210.0,20:38 2023-12-01,CO2 ppm
3FAD,21.3,20:38 2023-12-01,t° C
3FAD,42.3,20:38 2023-12-01,RH %
3FAD,1119.0,20:53 2023-12-01,CO2 ppm
3FAD,21.2,20:53 2023-12-01,t° C
3FAD,42.0,20:53 2023-12-01,RH %
3FAD,1098.0,21:08 2023-12-01,CO2 ppm
3FAD,21.2,21:08 2023-12-01,t° C
3FAD,42.5,21:08 2023-12-01,RH %
3FAD,1115.0,21:23 2023-12-01,CO2 ppm
3FAD,21.2,21:23 2023-12-01,t° C
3FAD,42.8,21:23 2023-12-01,RH %
3FAD,1120.0,21:38 2023-12-01,CO2 ppm
3FAD,21.2,21:38 2023-12-01,t° C
3FAD,42.8,21:38 2023-12-01,RH %
3FAD,1121.0,21:53 2023-12-01,CO2 ppm
3FAD,21.3,21:53 2023-12-01,t° C
3FAD,42.9,21:53 2023-12-01,RH %
3FAD,1118.0,22:08 2023-12-01,CO2 ppm
3FAD,21.3,22:08 2023-12-01,t° C
3FAD,42.9,22:08 2023-12-01,RH %
3FAD,1118.0,22:18 2023-12-01,CO2 ppm
3FAD,1117.0,22:23 2023-12-01,CO2 ppm
3FAD,21.2,22:23 2023-12-01,t° C
3FAD,43.0,22:23 2023-12-01,RH %
3FAD,1117.0,22:38 2023-12-01,CO2 ppm
3FAD,21.2,22:38 2023-12-01,t° C
3FAD,43.0,22:38 2023-12-01,RH %
3FAD,1109.0,22:53 2023-12-01,CO2 ppm
3FAD,21.2,22:53 2023-12-01,t° C
3FAD,43.1,22:53 2023-12-01,RH %
3FAD,1106.0,23:08 2023-12-01,CO2 ppm
3FAD,21.2,23:08 2023-12-01,t° C
3FAD,43.1,23:08 2023-12-01,RH %
3FAD,1103.0,23:23 2023-12-01,CO2 ppm
3FAD,21.1,23:23 2023-12-01,t° C
3FAD,43.2,23:23 2023-12-01,RH %
3FAD,1098.0,23:38 2023-12-01,CO2 ppm
3FAD,21.1,23:38 2023-12-01,t° C
3FAD,43.2,23:38 2023-12-01,RH %
3FAD,1095.0,23:53 2023-12-01,CO2 ppm
3FAD,21.1,23:53 2023-12-01,t° C
3FAD,43.3,23:53 2023-12-01,RH %
3FAD,1087.0,00:08 2023-12-02,CO2 ppm
3FAD,21.1,00:08 2023-12-02,t° C
3FAD,43.3,00:08 2023-12-02,RH %
3FAD,1088.0,00:23 2023-12-02,CO2 ppm
3FAD,21.1,00:23 2023-12-02,t° C
3FAD,43.4,00:23 2023-12-02,RH %
3FAD,1092.0,00:38 2023-12-02,CO2 ppm
3FAD,21.1,00:38 2023-12-02,t° C
3FAD,43.3,00:38 2023-12-02,RH %
3FAD,1081.0,00:53 2023-12-02,CO2 ppm
3FAD,21.1,00:53 2023-12-02,t° C
