Room,Value,Time,Type
3F07,617.0,20:53 2023-12-02,CO2 ppm
3F07,21.4,20:53 2023-12-02,t° C
3F07,42.5,20:53 2023-12-02,RH %
3F07,618.0,21:08 2023-12-02,CO2 ppm
3F07,21.4,21:08 2023-12-02,t° C
3F07,42.5,21:08 2023-12-02,RH %
3F07,614.0,21:23 2023-12-02,CO2 ppm
3F07,21.4,21:23 2023-12-02,t° C
3F07,42.5,21:23 2023-12-02,RH %
3F07,612.0,21:38 2023-12-02,CO2 ppm
3F07,21.4,21:38 2023-12-02,t° C
3F07,42.6,21:38 2023-12-02,RH %
3F07,606.0,21:53 2023-12-02,CO2 ppm
3F07,21.3,21:53 2023-12-02,t° C
3F07,42.6,21:53 2023-12-02,RH %
3F07,42.6,22:08 2023-12-02,RH %
3F07,607.0,22:08 2023-12-02,CO2 ppm
3F07,21.4,22:08 2023-12-02,t° C
3F07,609.0,22:23 2023-12-02,CO2 ppm
3F07,42.6,22:23 2023-12-02,RH %
3F07,21.3,22:23 2023-12-02,t° C
3F07,42.6,22:38 2023-12-02,RH %
3F07,602.0,22:38 2023-12-02,CO2 ppm
3F07,21.4,22:38 2023-12-02,t° C
3F07,602.0,22:53 2023-12-02,CO2 ppm
3F07,21.4,22:53 2023-12-02,t° C
3F07,42.6,22:53 2023-12-02,RH %
3F07,601.0,22:58 2023-12-02,CO2 ppm
3F07,21.4,23:08 2023-12-02,t° C
3F07,601.0,23:08 2023-12-02,CO2 ppm
3F07,42.6,23:08 2023-12-02,RH %
3F07,594.0,23:23 2023-12-02,CO2 ppm
3F07,21.3,23:23 2023-12-02,t° C
3F07,42.6,23:23 2023-12-02,RH %
3F07,594.0,23:38 2023-12-02,CO2 ppm
3F07,21.3,23:38 2023-12-02,t° C
3F07,42.5,23:38 2023-12-02,RH %
3F07,594.0,23:53 2023-12-02,CO2 ppm
3F07,21.3,23:53 2023-12-02,t° C
3F07,42.6,23:53 2023-12-02,RH %
3F07,42.6,00:08 2023-12-03,RH %
3F07,590.0,00:08 2023-12-03,CO2 ppm
3F07,21.3,00:08 2023-12-03,t° C
3F07,589.0,00:23 2023-12-03,CO2 ppm
3F07,21.3,00:23 2023-12-03,t° C
3F07,42.6,00:23 2023-12-03,RH %
3F07,590.0,00:38 2023-12-03,CO2 ppm
3F07,21.3,00:38 2023-12-03,t° C
3F07,42.6,00:38 2023-12-03,RH %
3F07,590.0,00:53 2023-12-03,CO2 ppm
3F07,21.3,00:53 2023-12-03,t° C
3F07,42.6,00:53 2023-12-03,RH %
3F07,586.0,01:08 2023-12-03,CO2 ppm
3F07,21.3,01:08 2023-12-03,t° C
3F07,42.6,01:08 2023-12-03,RH %
3F07,584.0,01:23 2023-12-03,CO2 ppm
3F07,21.3,01:23 2023-12-03,t° C
